procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  2 201600  21716  13760 210368    4    0     4  8924  364 69208 74 24  2  0
 0  0 201600  17564  13772 214472   36    0   100   248  223 70395 71 27  2  0
 0  1 201600  19616  13784 211796    0    0    16 15364  462 67798 75 22  0  2
 0  0 201600  16644  13816 215344    0    0     0  3688  328 69240 81 17  2  0
 0  0 201648  16204  13436 216420    0  400     0  5312  385 72544 79 21  0  0
 2  1 201648  20928  13324 211856    0   32    20 13924  477 67089 78 21  1  0
 0  1 201648  17488  13376 215428    4    0   132  4784  331 69927 79 18  2  0
 0  0 201648  16908  13416 215960    0    0    20  8216  407 67158 82 16  2  0
 0  0 201648  16088  13424 216748    0    0     0     0  203 70404 81 18  1  0
 0  1 201648  19164  13444 213604    4    0     4 10092  399 67672 80 18  2  0
 2  0 201648  16016  13460 216680    0    0     0  6664  343 69929 84 15  1  0
 0  1 201648  17204  13472 215464    4    0    20 11304  433 67558 79 19  2  0
 0  1 201648  18372  13488 214276    0    0     0  9508  397 62922 79 21  0  0
 0  0 201648  16256  13504 216376    0    0     4     0  204 70287 85 15  0  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  1 201648  18332  13520 212472    0    0     0 14908  412 67787 84 15  1  0
 0  1 201648  15908  13540 216688    4    0     4   160  296 70053 83 14  2  0
 0  1 201648  21848  13556 210724    4    0   132 10872  418 70271 83 14  2  0
 0  0 201648  16656  13580 215884    0    0     0  7724  386 67920 80 17  3  0
 0  1 201648  16556  13600 216008   60    0    60  7648  378 68945 84 15  0  0
 0  0 201648  18840  13632 213688    0    0    20  8924  393 67775 86 12  2  0
 0  0 201648  18584  13668 213904    0    0     0  7340  354 72242 84 16  0  0
 0  2 201648  16296  13672 212564    4    0     4  7544  203 70286 89 11  0  0
 0  1 201648  16284  13720 216140    4    0     8  5092  492 67495 85 12  0  2
 2  0 201648  18512  13724 213920    0    0   136  9320  399 68613 86 12  2  0
 0  1 201648  15916  13760 216472    4    0    20  1040  237 69628 85 12  2  0
 0  0 201648  16152  13768 216224    0    0     0     0  204 70600 87 10  2  0
 0  1 201632  20700  13796 212044    4    0    12 17996  546 67541 83 15  0  2
 0  1 201632  16456  13804 216260    4    0     4  7116  353 67348 86 11  2  0
 0  1 201632  20096  13824 210392    0    0    12  9812  276 60951 87 11  0  2
 0  0 201632  16940  13856 215752    0    0     4  4920  513 71751 89 11  0  0
 0  0 201632  16100  13860 216588    0    0   136     0  210 68989 80 17  2  0
 2  0 201632  16044  13868 216640    0    0     0     0  205 61804 84 14  2  0
 0  1 201632  23464  13884 207200    0    0     0 21280  525 60543 81 16  2  0
 0  0 201632  18220  13912 214388    0    0     0   252  270 69051 86 12  2  0
 2  0 201632  16348  13916 216256    0    0     0     0  204 66701 82 15  2  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  2 201632  21516  13924 210336    4    0    12 20148  543 64901 83 15  0  2
 0  0 201632  16528  13960 216008    0    0     4  3880  309 63499 86 13  1  0
 0  0 201632  18680  13976 213836    0    0     0 12172  442 69374 90 10  0  0
 0  2 201632  18808  14000 212632    4    0     8  9184  347 59762 84 13  2  0
 0  0 201632  15964  14012 216512    0    0   128   164  259 66478 87 10  2  0
 0  0 201632  16228  14020 216240    0    0     0     0  204 62608 83 14  2  0
 0  0 201632  20872  14036 211584    0    0     0 15692  488 61066 80 18  2  0
 0  2 201632  19136  14052 212960    4    0     4 13528  445 68859 84 14  0  1
 2  0 201632  16028  14092 216368    4    0    16  3344  310 65137 86 11  2  0
 2  0 201632  16060  14116 216100    0    0     0  4700  301 69323 83 15  2  0
 2  0 201632  15880  14128 216488    0    0    16  7232  354 62842 91  9  0  0
 2  0 201632  16016  14144 216332    0    0     0     0  204 62417 84 14  2  0
 0  1 201632  20844  14160 211484    4    0     4 18368  545 59091 83 14  2  0
 0  0 201632  17184  14176 215124    0    0    16  6460  336 68237 85 12  2  0
 0  0 201632  15744  14192 216548    0    0   128     0  207 68921 84 14  2  0
 2  0 201632  16120  14212 216156    4    0     4     0  205 65667 83 15  2  0
 0  0 201632  22232  14220 210028    0    0     0 19132  605 51143 73 14  0 12
 1  1 201632  16220  13892 215696    0  408     0 11736  471 72462 85 15  0  0
 0  0 201632  18260  13924 214300    0    0     0  5516  370 69515 86 13  0  1
 0  0 201632  16020  13940 216524    0    0     4  4224  293 69184 84 14  2  0
 0  1 201632  18628  13956 213244    0    0     0 13596  437 67998 82 16  2  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  2 201632  17324  13984 212804    4    0     8  7448  321 69285 80 17  2  0
 0  1 201632  19444  14024 213284    4    0     4  6436  458 69055 83 15  1  1
 2  0 201632  18676  14052 214020    0    0   128  4936  309 62660 88 10  2  0
 1  0 201632  18580  14072 214092    0    0     0  5548  317 51888 78 12  9  0
 1  0 201632  18580  14072 214092    0    0     0     0  203   164 57  1 41  0
 0  0 201632  16248  14076 216420    0    0     0     0  204 57499 83 11  6  0
 0  1 201632  19040  14104 213592    4    0     4 16916  536 67107 77 21  0  1
 0  1 201632  16000  14120 216612    4    0    20  1940  252 63722 83 16  1  0
 0  1 201632  21684  14136 210964    8    0    12 10404  407 67551 86 11  2  0
 0  0 201632  16996  14136 215648    0    0     0     0  205 69788 86 12  2  0
 0  0 201632  20080  14164 212476    0    0     0 14944  498 68032 84 14  2  0
 0  0 201632  19492  14212 213016    0    0    16  9096  405 73032 84 16  0  0
 2  0 201632  20276  14232 212216    0    0     0  5788  322 68153 89 11  0  0
 0  0 201632  19204  14260 213260    0    0    20  7488  368 67810 84 14  2  0
 0  1 201632  20112  14268 212304    4    0   136  7328  353 68463 84 13  2  0
 0  0 201632  15980  14296 216348    0    0     0  3820  288 70822 83 14  3  0
 0  1 201632  17716  14316 212776    0    0     0 12704  344 69141 86 11  2  0
 2  0 201632  19472  14340 212852    0    0     4  5832  446 69103 85 13  0  2
 0  0 201632  16096  14368 216196    0    0     0  4328  300 70528 84 14  2  0
 1  0 201632  17312  14384 214984    0    0     0  7884  361 68776 84 15  1  0
 0  0 201632  16348  14412 215920    0    0     0     0  203 72394 87 13  0  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  1 201632  18224  14428 214028    4    0     4 14164  483 68379 82 16  0  2
 0  1 201632  15976  14444 216248    4    0     8     0  205 69348 84 13  2  0
 0  2 201632  19476  14460 212360    8    0   136 18800  511 60965 82 15  3  0
 0  1 201632  18660  14496 213376    4    0     8  6900  402 68944 81 16  2  0
 3  0 201632  16196  14504 215832    0    0     0     0  205 69035 83 14  3  0
 0  0 201632  17444  14540 214540    0    0     4 16140  624 67665 81 17  0  2
 0  0 201632  19660  14580 212296    0    0    20  6536  346 68660 84 14  0  1
 0  0 201632  15796  14604 216136    0    0     0     0  203 73362 88 12  0  0
 0  0 201632  19196  14652 212684    0    0     4 12376  454 68014 90  8  2  0
 0  2 201632  19148  14672 210616    4    0    20 10568  316 68797 86 11  0  2
 3  0 201632  16596  14684 215252    0    0     0   160  310 69402 85 13  2  0
 2  1 201632  21328  14684 209728    0    0   128 12260  404 63748 85 12  2  0
 1  0 201632  16808  14700 215024    0    0     0   204  240 66894 85 13  2  0
 2  0 201632  16152  14712 215664    4    0     8 10608  428 62579 87 10  2  0
 0  2 201632  19096  14728 208012    4    0     4 13148  261 60832 86 12  2  0
 0  1 201632  18292  14752 213468    8    0     8   240  399 70798 86 12  1  0
 0  0 201632  16140  14768 215604    0    0     0     0  207 70501 83 16  0  0
 0  1 201632  24832  14772 206880    0    0     0 19092  544 64872 87 11  2  0
 0  1 201632  17712  14804 213968    4    0     8  6136  336 57306 84 13  3  0
 0  1 201632  20604  14820 208680    0    0     0 10984  317 60052 85 13  2  0
 2  1 201632  16692  14836 213536    0    0    12  7568  351 67788 85 13  2  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  0 201632  16000  14844 215644    0    0   128   188  321 69424 87 10  2  0
 0  1 201632  21236  14860 206844    4    0     4 13952  332 67970 89  9  2  0
 0  1 201632  18248  14880 213460    4    0     4   228  340 67347 84 13  2  0
 0  1 201632  17120  14888 214368    0    0     0 14036  479 68276 84 16  0  0
 0  0 201632  15844  14932 215788    0    0     4  2800  265 66342 87 11  0  2
 0  0 201632  17640  14952 213928    0    0     0 11788  449 66519 82 16  2  0
 0  0 201632  16076  14972 215472    0    0     0     0  203 68068 84 14  2  0
 0  0 201632  16124  14972 215424    0    0     0     0  204 67234 88 11  0  0
 2  1 201632  17444  15000 205788    0    0     0 21204  327 65401 80 19  1  0
 0  1 201632  18900  15012 212552    4    0     4   268  537 67337 84 14  2  0
 0  0 201632  19404  15064 211928    0    0   152 14872  512 65849 86 14  0  0
 3  0 201632  16008  15080 215308    4    0     4  3360  273 58658 87 11  2  0
 0  0 201632  20676  15108 210608    0    0     0  9036  383 63739 83 15  2  0
 0  1 201632  19004  15124 211356    0    0     0 10912  396 64621 87 11  2  0
 0  1 201632  20344  15144 210888    4    0    16  5848  358 67870 84 13  2  0
 0  0 201632  15960  15148 215264    4    0     4     0  206 66399 87 10  3  0
 0  2 201656  20928  14848 210092    0  476     0 12524  448 63098 87 11  0  2
 1  0 201656  16816  14868 214628    0    0     0   224  263 63902 90  9  1  0
 1  0 201656  22520  14876 208916    0    0     0 11248  417   215 56  4 26 14
 0  1 201656  18928  14880 212452    0    0     0  4452  286 44245 72 14 14  0
 0  0 201656  16228  14920 215164    0    0   132  4920  330 69043 88 10  1  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 2  0 201656  16816  14960 214544    0    0     4  5732  327 68937 84 13  2  0
 2  0 201656  16976  14988 214352    0    0    12  7328  353 69542 83 15  2  0
 0  1 201656  16172  15052 215016    0    0    36 11700  474 66671 84 13  2  0
 0  0 201656  18152  15068 213092    0    0     0  4508  298 72318 87 13  0  0
 0  0 201656  16168  15084 215056    4    0     4     0  205 69557 87 10  2  0
 2  1 201656  20740  15092 210520    0    0    12 16972  529 67540 83 14  2  0
 0  2 201656  18416  15112 210832    4    0     4  8448  258 65704 83 14  2  0
 0  0 201656  15952  15148 215252    0    0     0  5000  435 64470 82 15  2  0
 0  0 201656  17896  15188 213268    0    0   136  9684  407 68302 88 11  0  1
 2  0 201660  17172  14628 214556    4    8     4  3356  278 69751 82 16  2  0
 0  1 201660  20520  14636 210384    0    0    12 10212  406 65438 85 12  0  2
 1  0 201660  16100  14680 215580    0    0     0  8072  454 65386 83 15  1  0
 0  0 201660  18628  14700 213056    0    0     0  9444  398 70899 83 17  0  0
 0  1 201660  15736  14716 215928    4    0     8  4988  310 67949 81 17  2  0
 0  1 201660  16204  14744 215428    4    0     4  3572  279 68949 86 12  2  0
 0  0 201660  16000  14748 215624    0    0     0     0  204 61242 87 11  2  0
 2  0 201636  19360  14772 212436   64    0    76 21584  637 66088 77 22  0  0
 0  1 201636  19060  14804 212700    4    0    16  5072  312 59834 79 18  3  0
 2  0 201636  18352  14832 213380    4    0    36  6940  355 67129 85 14  1  0
 0  0 201636  15800  14836 215928    0    0   128     0  206 69081 88 12  0  0
 0  0 201636  21168  14892 210452    0    0     0 14932  491 62395 82 16  2  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  1 201636  19484  14900 211476    0    0     4  8864  338 64640 84 14  2  0
 0  1 201636  16200  14932 215340   44    0    44  2992  325 65747 84 14  2  0
 0  2 201636  20552  14932 209068    4    0     4 10952  347 63658 84 13  3  0
 0  1 201636  18004  14976 213476    4    0     4   216  277 62208 88 10  2  0
 0  0 201636  16620  15000 214836    0    0    16 11092  421 62345 81 17  2  0
 0  0 201636  16060  15012 215384    0    0     0     0  204 65927 85 13  2  0
 0  0 201636  20984  15020 210448    0    0     0 15696  489 60886 86 14  0  0
 1  1 201636  16500  15032 214840    4    0     4  8636  379 68497 86 13  1  0
 0  0 201636  16128  15052 215272    4    0   132     0  209 67133 84 14  2  0
 0  2 201636  23408  15060 207092    4    0     4 16024  465 59065 84 14  2  0
 0  1 201636  17620  15084 210212   32    0    36  5400  419 23955 89  8  2  0
 0  1 201636  17124  15104 210684    4    0    24  6868  351 71184 84 15  0  0
 0  0 201636  17044  15116 211584    8    0     8     0  206 70528 85 14  0  0
 0  0 201636  16260  15116 212368    0    0     0     0  204 68866 86 11  2  0
 0  1 201696  22208  14508 201516    0  204     0 22700  425 65768 81 16  3  0
 0  1 201696  20524  14524 208456    0    0     0  8412  510 67086 82 14  3  0
 0  0 201696  16460  14548 212768    0    0     4  4984  371 67449 86 12  2  0
 1  0 201696  15952  14560 213268    0    0     0     0  205 67133 86 12  2  0
 0  0 201696  15800  14588 213548    0   48   128    48  217 67826 86 12  2  0
 0  2 201696  22072  14592 201480    4    0     4 22996  429 60026 81 19  0  0
 0  1 201696  21140  14616 208472    0    0     0  8744  578 65273 81 18  0  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 2  0 201696  16424  14660 213152    0    0     4  2700  264 60073 85 12  2  0
 0  3 201704  21752  14668 205744    4  232     8 12304  349 62999 79 19  2  0
 0  0 201704  18164  14704 211728    0  156    12  4208  427 62278 85 12  0  2
 2  1 201704  19080  14728 209932    0    0     0 11864  411 67089 82 16  2  0
 2  0 201704  16048  14760 213788    0    0     0  1052  266 66537 86 12  2  0
 0  0 201704  16088  14788 213716    0    0    16 10032  445 60842 82 15  2  0
 0  1 201716  16292  14792 213552   28  116   112   116  224 72482 86 13  0  0
 0  1 201752  20716  14800 207216   52  648   252 15940  529 65329 83 13  2  1
 0  0 201752  17344  14820 212472    4    0     4   280  269 68158 84 13  3  0
 0  0 201752  17504  14852 212260   20    0    20 14552  501 61047 79 13  0  7
 0  0 201752  16536  14880 213196    4    0     4  7504  362 68095 81 16  2  0
 0  1 201752  17380  14908 212348   72    0    72  8772  406 48427 69 11  5 15
 2  0 201752  17292  14908 212348   84    0    84     0  226   202 53  2 40  5
 3  0 201824  19088  14944 210520    0   72     0  3912  280 48614 79  9 12  0
 4  0 202244  18516  14068 211792    0  720    36  7784  377 68867 86 12  0  2
 3  0 202244  16144  14092 214380    0    0     0  2660  285 68539 81 17  1  0
 3  0 202244  16076  14108 214432    0    0     4 11488  447 67270 84 14  2  0
 2  0 202244  16364  14144 214172    0    0    16  7072  359 68017 81 17  2  0
 3  0 202244  16460  14176 214040    4    0   136  7892  377 71678 86 14  0  0
 4  0 202244  16080  14184 214412    0    0     0     0  204 68491 88 12  0  0
 0  3 202244  17568  13900 212076    0  320     0 11020  548 71062 82 15  0  3
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  1 202244  19232  13932 211400   48    0    64 13600  582 77435 79 19  0  2
 1  1 202244  17968  13968 212628    4    0    12  6732  348 69664 84 13  2  0
 1  1 202244  19884  13988 210676    0    0     4 10444  431 67821 83 14  2  0
 2  1 202296  18944  14000 211584    0  360     4  6860  346 69147 78 19  2  0
 1  0 202296  18328  14024 212196    0    0     0  4844  315 68921 83 14  2  0
 1  0 202296  16244  14028 214244    0    0   128     0  206 70416 87 10  2  0
 1  0 202296  16024  14036 214456    0    0     0     0  204 69150 89  9  2  0
 1  1 202296  19216  14068 211572    0    0     4 25444  695 69687 86 14  0  0
 1  0 202296  17936  14112 212788    4    0     4  6140  339 68015 82 16  2  0
 2  1 202296  16452  14132 212992    0    0     8  9308  345 63562 81 17  2  0
 1  0 202296  17012  14156 213628    0    0     0  6148  390 64206 85 12  2  0
 1  0 202296  15840  14152 214776    4    0     4     0  204 69092 84 14  2  0
 2  0 202296  19172  14188 211392    4    0     4 12756  458 66141 84 14  2  0
 2  0 202296  19580  14232 211904    0    0     0  9124  386 64710 84 13  0  2
 3  1 202296  19064  14240 209400    0    0   128  9704  234 58839 84 13  2  0
 3  0 202296  17268  14280 214168    0    0    12  1660  409 70351 87 13  0  0
 1  0 202296  16584  14312 214820    0    0    28  6916  352 62870 85 13  0  2
 1  0 202296  15792  14320 215600    4    0     4     0  204 59338 88 10  2  0
 0  2 202296  23292  14324 206448    4    0     4 18268  468 65138 84 13  2  0
 1  0 202296  18060  14344 213600    4    0     4   228  320 63788 86 11  2  0
 1  0 202296  17608  14360 214036    0    0     0 13080  451 68056 80 17  0  3
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0 202296  16024  14380 215600    0    0     0     0  202 67343 84 14  2  0
 1  0 202296  15832  14384 215780    8    0     8     0  208 61661 83 15  2  0
 2  1 202296  19988  14396 208380    0    0    24 22124  494 68090 81 17  0  1
 1  0 202296  16084  14432 215424    0    0     0 10028  521 68453 84 16  0  0
 1  0 202296  16332  14452 215156    0    0   128  4936  314 67062 86 12  0  2
 1  0 202296  16936  14480 214512   12    0    20  7580  358 67534 82 15  3  0
 2  0 202296  19316  14488 212104   20    0    24  9780  404 69005 84 13  2  0
 2  0 202296  15908  14504 215496    0    0     0  4912  307 69354 85 13  2  0
 3  0 202296  15932  14520 215456    0    0     0     0  205 67693 88 10  2  0
 1  0 202296  22844  14536 208528    0    0     0 14472  499 62616 87 11  0  2
 1  0 202296  16764  14572 214568    0    0    16  9404  402 65501 82 16  2  0
 2  0 202296  16228  14588 215084    4    0    12     0  207 68425 90 10  0  0
 1  0 202296  20732  14600 210556    4    0     4 12716  443 58576 84 13  2  0
 1  0 202296  17012  14616 214256    0    0   128     0  209 65800 84 14  2  0
 1  0 202296  21152  14644 210088    0    0     4 14840  477 65079 83 15  2  0
 2  0 202296  16652  14664 214564    0    0     4  6124  332 60143 87 11  2  0
 1  0 202296  16068  14668 215144    0    0     0     0  203 66869 88  9  2  0
 2  1 202296  19672  14436 208356    0  384     4 15608  471 82094 76 22  0  2
 1  0 202296  16420  14468 214960    4    0    16  8116  502 66384 86 14  0  0
 1  0 202296  17344  14488 214016    0    0     0  6920  344 71943 86 14  0  0
 1  0 202296  18136  14504 213276    0    0     0  9996  407 67795 85 12  3  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0 202296  18352  14540 213024    0   48     0  6700  351 68935 85 12  2  0
 2  0 202296  15980  14324 215600   12  292   156  4412  353 70120 86 13  0  1
 1  0 202296  20556  14344 211004    0    0     0  9492  391 63079 81 16  2  0
 1  0 202296  17800  14372 213688   44    0    44  9220  404 57103 76 12  0 12
 0  0 202296  19548  14388 211916    8    0     8  5416  320 62457 82 14  3  1
 1  0 202296  19544  14388 211916    4    0     4     0  205   140 56  2 42  0
 0  0 202296  20212  14416 211208   12    0    28  7336  366 52568 81  8 11  0
 0  1 202340  16152  14440 215196    4  328    24  5096  353 70715 85 13  1  0
 0  0 202340  17612  14476 213724    8    0    44  8840  410 66161 87 11  0  2
 0  0 202340  16012  14488 215312    0    0     4  2748  264 69778 85 12  3  0
 0  0 202340  15924  14504 215384    0    0    20     0  207 69033 82 16  2  0
 1  0 202340  20712  14528 210844    8    0     8 19252  573 62371 86 13  0  1
 0  0 202340  16028  14560 215476   16    0    16  7292  364 72151 87 13  0  0
 2  1 202340  19660  14576 211572    4    0    16  9208  373 67527 85 13  2  0
 1  0 202340  20416  14592 211040    4    0     8  5848  355 68964 82 15  3  0
 0  0 202340  15700  14608 215736    0    0     0     0  206 70331 85 12  2  0
 0  0 202340  15836  14636 215572    0    0     4 14348  506 68155 82 16  0  2
 0  0 202340  17076  14644 214324    0    0     8  3296  275 68087 85 13  2  0
 0  0 202340  15816  14652 215568    8    0     8     0  205 65002 85 13  2  0
 0  0 202340  19808  14672 211560    4    0     4 14204  469 60847 81 16  2  0
 1  0 202340  16368  14672 214996    4    0     4     0  204 70596 85 15  0  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  0 202340  16168  14692 215164   12    0    36 15860  509 68428 85 13  2  0
 1  0 202340  15780  14732 215508    4    0    20     0  208 63311 84 13  2  0
 0  0 202340  22612  14748 208660    0    0   192 15084  492 62751 78 20  2  0
 0  0 202340  17320  14768 213932    0    0   140  6452  341 61935 87 11  0  2
 0  1 202340  22992  14772 207588   40    0    52 10620  368 64806 78 20  2  0
 0  0 202340  18136  14800 213044    0    0     0  1792  298 67810 89  9  2  0
 0  0 202340  18540  14836 212608    0    0     0 11804  440 67562 84 14  0  2
 1  0 202340  16076  14860 215048    0    0   128  2884  270 68984 84 16  0  0
 0  0 202340  15788  14884 215312    0    0     0     0  205 65837 87 12  1  0
 0  1 202340  21224  14892 209180    0    0    28 20208  510 66906 82 16  2  0
 0  0 202340  17676  14912 213388    0    0     0   132  355 65682 76 16  0  7
 0  1 202340  19524  14920 211520    0    0     4 13460  530 68249 86 11  0  2
 2  0 202340  18776  14952 212244    4    0     8  5520  335 68865 85 13  2  0
 0  0 202340  16000  14984 214988    0    0    16  4084  289 68262 82 16  2  0
 0  1 202340  19644  15004 211324    8    0     8 12440  457 67530 85 13  1  0
 0  0 202340  19396  15032 211544    0    0     0  6440  335 73621 84 16  0  0
 0  0 202340  19116  15048 212232    0    0    16  6552  337 64419 82 15  2  0
 0  0 202340  16008  15060 215328    0    0   132     0  207 67184 83 14  2  0
 0  0 202340  21800  15088 209516    0    0    12 14804  497 66332 85 12  2  0
 0  1 202340  20288  15088 210452    0    0     0  6500  308 66697 85 13  2  0
 0  0 202340  16300  15116 214988    0    4     0   176  241 64316 89  8  2  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0 202340  20504  15128 210772    4    0     4 11264  441 64797 84 14  0  2
 0  0 202340  16784  15128 214484    0    0     0     0  204 70023 85 15  0  0
 0  1 202340  15988  15144 215240    0    0     8 16812  536 60313 84 14  2  0
 1  0 202340  17904  15176 213312    4    0     4  7036  410 64269 86 11  2  0
 0  0 202340  15896  15196 215300    0    0     8     0  205 68945 80 17  2  0
 1  0 202340  16104  15200 215088    0    0   140     0  210 66745 90  7  2  0
 0  0 202340  20124  15220 211048    0    0     0 17196  525 64728 85 13  2  0
 1  1 202340  15844  15244 214304    4    0     4 10744  384 67439 87 10  0  2
 0  0 202340  18372  15296 212700    0    0     8  6624  392 70271 88 12  0  0
 0  0 202340  15932  15308 215128    0    0     0     0  204 63352 87 10  2  0
 0  2 202340  23248  15320 207752    0    0     8 13560  423 64121 83 15  2  0
 0  1 202340  17064  15348 213208    4    0    24  9444  347 61980 86 11  2  0
 0  0 202340  16244  15368 214696    4    0    20  1520  311 63939 89  8  2  0
 0  0 202340  20460  15388 210472    0    0     0 10256  413 66054 84 14  2  0
 0  0 202340  16028  15404 214888    0    0   128  4216  295 66570 83 14  2  0
 0  0 202340  17504  15424 213404    8    0     8  5816  327 69005 89 11  0  0
 0  0 202340  16864  15452 214016    0    0     0  8648  379 65472 86 12  2  0
 0  0 202340  18264  15488 212580    0    0     0  7036  356 66762 85 13  2  0
 0  0 202340  18360  15524 212448    0    0     0  9120  401 65860 81 16  2  0
 0  0 202340  18764  15544 212028    0    0     4  5856  326 65002 79 18  0  2
 0  0 202340  15868  15560 214908    0    0     0  4256  290 66079 84 14  2  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  0 202340  16056  15584 214696    0    0     8  6596  343 68451 86 14  0  0
 0  0 202340  20064  15612 210656    4    0   144 11888  454 68470 90  9  1  0
 2  1 202340  19544  15616 211156    4    0     4  4940  352 67816 82 15  2  0
 0  1 202340  19236  15632 210844    0    0     0  9636  410 65661 82 15  2  0
 0  0 202340  15844  15656 214864    8    0     8  1624  258 62361 84 13  2  0
 0  1 202340  20748  15672 209844    0    0     0 10184  433 59034 81 16  0  2
 0  0 202340  17092  15700 213532    4    0     8  6700  371 52498 78 13  7  2
 1  0 202340  17080  15708 213532    8    0     8  1836  248   176 56  1 41  1
 0  0 202340  18380  15724 212212    0    0     0  3552  279 58519 81 11  8  0
 0  0 202340  18656  15756 211900    0    0     4  7016  353 70490 83 15  2  0
 0  0 202340  15868  15768 214672    0    0    28  5636  328 68285 86 12  0  2
 0  0 202340  15884  15768 214620    0    0     0     0  203 64892 83 14  2  0
 0  0 202340  18468  15812 211960   12    0   152 16760  544 64137 86 11  1  1
 0  0 202340  15872  15820 214520    4    0     4     0  204 69409 88 10  2  0
 0  0 202340  20160  15836 210176    4    0   132 11812  434 62415 84 16  0  0
 0  0 202340  16228  15852 214092    0    0     0     0  203 71147 88 11  1  0
 0  0 202340  15944  15852 214108    0    0     0     0  204 69784 86 11  2  0
 0  1 202408  20756  15868 209460    0  104     4 23616  680 66617 80 17  0  2
 0  0 202468  17428  15888 212776    0   60     0   204  218 60147 76 21  2  0
 0  0 202468  21136  15912 209044    0    0   128 11188  420 66672 84 14  0  2
 0  0 202468  16704  15928 213456    4    0     4     0  205 67589 84 14  2  0
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  0 202468  20428  15944 209712    4    0     4 12892  449 72102 86 14  0  0
 2  0 202468  16016  15956 214328    0    0     0  7772  360 69365 82 15  3  0
 0  1 202468  21588  15964 207420    0    0    12 10072  335 61228 85 12  2  0
 0  0 202468  17828  16016 212452    0    0     0  7512  430 67070 84 13  2  0
 0  0 202468  17840  16052 212404    0    0   128  3580  280 68453 85 13  2  0
 0  0 202468  16144  16056 214092    0    0     4     0  204 70078 84 13  2  0
 1  1 202468  21852  16084 208340    4    0     8 17388  530 66405 83 14  0  2
 0  0 202468  17492  16108 212684    0    0     0  7208  357 65445 86 12  0  2
 0  0 202468  17032  16116 213140    0    0     0  3092  267 60752 86 13  0  0
 0  0 202468  16524  16148 213616    0    0     0  8292  378 68038 87 13  0  0
 0  0 202468  19116  16176 210984   12    0   144 10728  431 58334 85 13  2  0
 0  0 202468  15756  16188 214332    0    0   128  3580  282 61365 85 13  2  0
 0  0 202468  16048  16192 214032    0    0     0     0  203 67838 85 13  2  0
 0  0 202468  16024  16200 214048    0    0   128     0  207 63079 86 12  2  0
 0  1 202468  21748  16200 200036    0    0     0 24724  359 63547 83 15  2  0
 0  1 202476  24600  15984 205152    4  564     4  5348  638 58195 77 23  0  0
 0  0 202476  17304  16016 212356    0    0     0  6120  424 71079 84 16  0  0
 0  0 202476  18728  16032 210916    0    0     0  8572  372 66526 89  8  2  0
 0  0 202476  18628  16056 210992    0    0     4  7368  358 67943 84 13  2  0
 0  0 202476  15912  16084 213676    4    0     4     0  205 69540 85 13  2  0
 0  0 202476  19052  16108 210512    0    0    16 12712  465 67171 85 13  0  2
procs                      memory      swap          io     system         cpu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  0 202476  19780  16124 209768    0    0   144  8828  394 67804 85 12  3  0
 0  0 202476  18800  16140 210728    4    0     4  5272  317 63455 84 14  1  1
 0  1 202476  21584  16172 206184    0    0    16 10772  341 61171 83 17  0  0
 0  0 202476  17904  16184 211580    0    0     0   268  283 63945 86 11  0  2
 0  0 202476  16300  16192 213168    4    0     4     0  203 70132 87 11  2  0
 0  0 202476  20224  16220 209216    0    0    52 19044  564 61182 84 13  0  2
 0  0 202476  16000  16236 213424    0    0     4  7228  354 59695 86 11  2  0
